ORDER_ID,CUST_ID,CUST_NAME,PRODUCT_ID,PRODUCT_CAT,PRODUCT_NAME,PAYMENT_TYPE,QTY,PRICE,DATETIME,COUNTRY,CITY,WEBSITE,PAYMENT_ID,PAYMENT_SUCCESS,FAILURE_REASON
1,5838,Jennifer Allen,2706,Health,Tylenol,Debit Card,99,402,2022-05-18 02:33,China,Beijing,Target.com,59,N,I didn't have enough
2,671,Stefanie Simpson,4499,Home Appliances,Couch,Mobile Payments,98,521,2022-06-23 05:15,United States,Houston,Alibaba.com,69,N,I didn't have enough
3,6751,Warren Boyle,7186,Clothing,Shirt,Debit Card,65,4,2022-06-23 05:15,China,Tianjin,Ebay.com,9,N,My card was closed
4,8331,Holly Rodriguez,8427,Health,Tylenol,Mobile Payments,20,370,2022-01-23 10:33,United States,Undefined,Ebay.com,16,Y,Payment Successful
5,4048,Jordan Hoffman,2933,Gardening,Rake,Credit Card,18,116,2022-01-23 10:33,United States,New York City,Amazon.com,28,Y,Payment Successful
6,7464,Joshua Evans,3331,Clothing,Dress,Mobile Payments,74,464,2022-04-07 9:30,Germany,Koeln,Target.com,31,N,I entered my card info wrong by accident
7,106,Brittany Montgomery,6844,Technology,Tablet,Debit Card,86,413,2022-04-07 9:30,Italy,Turin,Ebay.com,18,N,My card was closed
8,923,Anthony Spencer,6599,Gardening,Plants,Mobile Payments,61,362,2022-06-23 05:15,Brazil,Brasilia,Amazon.com,52,N,I didn't have enough
9,9990,Joseph Higgins,9001,Technology,Tablet,Mobile Payments,6,959,2022-06-23 05:15,Japan,Kyoto,Target.com,66,N,My card was closed
10,4466,John Cox,9545,Home Appliances,Undefined,Debit Card,55,108,2022-05-18 02:33,United States,Washington,Target.com,5,Y,Payment Successful
11,5684,Michael Brooks,3233,Gardening,Plants,Debit Card,74,181,2022-05-18 02:33,China,Shanghai,Alibaba.com,24,Y,Payment Successful
12,4805,Philip Peterson,1760,Health,Tylenol,Credit Card,90,798,2022-01-23 10:33,United States,Houston,Ebay.com,75,N,I didn't have enough
13,8653,Jennifer Allen,719,Technology,Undefined,Credit Card,87,242,2022-06-23 05:15,Germany,Berlin,Target.com,76,N,I entered my card info wrong by accident
14,3588,Nathaniel Morgan,4443,Clothing,Shirt,Debit Card,3,754,2022-06-23 05:15,United States,San Francisco,Walmart.com,69,Y,Payment Successful
15,5477,Jennifer Allen,9597,Clothing,Shirt,Mobile Payments,16,633,2022-05-18 02:33,Germany,Frankfurt am Main,Walmart.com,22,N,My card was closed
16,4832,Randy Smith,3693,Clothing,Dress,Mobile Payments,46,99,2022-04-07 9:30,Brazil,Brasilia,Alibaba.com,34,Y,Payment Successful
17,1738,Taylor Thomas,7755,Technology,PC,Debit Card,3,394,2022-05-18 02:33,Germany,Munich,Alibaba.com,13,Y,Payment Successful
18,7914,April Neal,5598,Gardening,Rake,Debit Card,87,780,2022-05-18 02:33,Germany,Hamburg,Amazon.com,19,N,I didn't have enough
19,3768,Philip Peterson,6781,Technology,Wires,Debit Card,95,222,2022-05-18 02:33,South Korea,Incheon,Target.com,20,Y,Payment Successful
20,5756,Katherine Martin,7736,Technology,Wires,Mobile Payments,85,567,2022-05-18 02:33,India,Mumbai,Alibaba.com,77,N,I entered my card info wrong by accident
21,1879,Kelly Mclaughlin,9894,Technology,Undefined,Debit Card,6,489,2022-05-18 02:33,Japan,Kyoto,Alibaba.com,61,N,My card was closed
22,9317,Erin Watts,5253,Gardening,Plants,Mobile Payments,38,695,2022-01-23 10:33,Germany,Koeln,Ebay.com,80,N,I entered my card info wrong by accident
23,7044,Abigail Brooks,8479,Technology,PC,Credit Card,50,705,2022-05-18 02:33,Germany,Berlin,Alibaba.com,42,N,I entered my card info wrong by accident
24,2737,Carolyn Hood,499,Home Appliances,Table,Debit Card,93,51,2022-05-18 02:33,India,Mumbai,Target.com,2,N,I didn't have enough
25,6750,Laurie Maxwell,5929,Technology,Tablet,Mobile Payments,42,492,2022-05-18 02:33,India,Kolkata,Walmart.com,32,Y,Payment Successful
26,7076,Russell Chavez,8750,Gardening,Hoe,Mobile Payments,52,593,2022-05-18 02:33,United States,Philadelphia,Ebay.com,2,N,I entered my card info wrong by accident
27,2833,Brandon Holder,2563,Health,Tylenol,Debit Card,30,28,2022-05-18 02:33,Mexico,Ecatepec de Morelos,Alibaba.com,87,N,My card was closed
28,3725,Martin Alvarez,9903,Health,Advil,Debit Card,15,944,2022-06-23 05:15,Germany,Munich,Target.com,31,Y,Payment Successful
29,3993,Randy Smith,5102,Gardening,Hoe,Mobile Payments,3,706,2022-04-07 9:30,India,Delhi,Walmart.com,83,Y,Payment Successful
30,7522,Alexis Campbell,6934,Clothing,Shoes,Debit Card,86,138,2022-04-07 9:30,Japan,Kyoto,Amazon.com,67,N,My card was closed
31,83,Mary Williams,2839,Clothing,Dress,Credit Card,85,17,2022-01-23 10:33,United States,San Francisco,Ebay.com,28,Y,Payment Successful
32,9167,Renee Wilson,3389,Technology,Undefined,Mobile Payments,25,181,2022-06-23 05:15,United States,Washington,Amazon.com,12,Y,Payment Successful
33,5853,Jessica Davis,3745,Clothing,Shirt,Credit Card,52,507,2022-05-18 02:33,Japan,Osaka,Walmart.com,3,N,My card was closed
34,3572,John Small,9526,Home Appliances,Table,Mobile Payments,97,622,2022-06-23 05:15,South Korea,Busan,Walmart.com,94,N,I entered my card info wrong by accident
35,3101,Anna Wilson,8362,Home Appliances,Bed,Debit Card,5,873,2022-05-18 02:33,Germany,Frankfurt am Main,Walmart.com,52,Y,Payment Successful
36,6101,Kathryn Newman,8589,Technology,Wires,Mobile Payments,91,687,2022-01-23 10:33,Italy,Rome,Target.com,81,Y,Payment Successful
37,4725,Eric Hernandez,1502,Clothing,Shoes,Mobile Payments,43,89,2022-04-07 9:30,France,Paris,Amazon.com,61,Y,Payment Successful
38,6440,Carolyn Hood,8032,Health,Nyquill,Mobile Payments,51,973,2022-01-23 10:33,Mexico,Iztapalapa,Amazon.com,87,N,I didn't have enough
39,2056,James Golden,2865,Home Appliances,Table,Credit Card,4,480,2022-04-07 9:30,China,Tianjin,Amazon.com,44,Y,Payment Successful
40,3661,Abigail Brooks,9018,Gardening,Plants,Credit Card,17,633,2022-05-18 02:33,India,Kolkata,Walmart.com,46,N,I didn't have enough
41,4443,Kevin Mendoza,5085,Clothing,Shoes,Debit Card,91,484,2022-04-07 9:30,Italy,Naples,Walmart.com,34,Y,Payment Successful
42,8376,Tyler Stephenson,3165,Technology,Wires,Debit Card,24,486,2022-05-18 02:33,Germany,Munich,Amazon.com,19,N,I didn't have enough
43,4230,Holly Rodriguez,2838,Home Appliances,Table,Debit Card,67,60,2022-06-23 05:15,France,Toulouse,Amazon.com,29,N,I didn't have enough
44,5910,Russell Chavez,9621,Clothing,Shirt,Mobile Payments,81,942,2022-06-23 05:15,India,Chennai,Walmart.com,40,Y,Payment Successful
45,1282,Daisy Galvan,2170,Clothing,Shirt,Mobile Payments,64,158,2022-05-18 02:33,Mexico,Guadalajara,Amazon.com,73,N,I didn't have enough
46,6017,Brooke Davis,3778,Technology,PC,Mobile Payments,7,339,2022-06-23 05:15,China,Tianjin,Amazon.com,67,N,My card was closed
47,38,Austin Martin,1123,Health,Tylenol,Mobile Payments,68,673,2022-06-23 05:15,France,Nice,Ebay.com,94,Y,Payment Successful
48,357,Tina Perry,388,Clothing,Shirt,Debit Card,35,151,2022-05-18 02:33,Germany,Berlin,Amazon.com,85,N,My card was closed
49,9142,Jillian Torres,7622,Technology,Wires,Mobile Payments,39,549,2022-04-07 9:30,Germany,Koeln,Walmart.com,51,Y,Payment Successful
50,1395,Philip Peterson,4100,Health,Advil,Mobile Payments,79,696,2022-01-23 10:33,Italy,Turin,Ebay.com,77,Y,Payment Successful
51,1113,Randy Smith,6576,Clothing,Shoes,Credit Card,92,229,2022-06-23 05:15,Germany,Hamburg,Amazon.com,3,N,I didn't have enough
52,3520,Holly Rodriguez,2773,Technology,Tablet,Credit Card,84,486,2022-04-07 9:30,India,Delhi,Alibaba.com,48,Y,Payment Successful
53,933,James Golden,9166,Home Appliances,Undefined,Mobile Payments,10,519,2022-05-18 02:33,Japan,Kyoto,Amazon.com,18,Y,Payment Successful
54,9410,Martin Alvarez,9377,Health,Advil,Debit Card,80,476,2022-06-23 05:15,Brazil,Brasilia,Target.com,88,N,My card was closed
55,1883,Erin Watts,326,Gardening,Hoe,Credit Card,83,80,2022-06-23 05:15,Italy,Milan,Ebay.com,35,Y,Payment Successful
56,4419,Sherry Harrison,7208,Home Appliances,Table,Mobile Payments,37,877,2022-05-18 02:33,Italy,Rome,Amazon.com,22,N,I entered my card info wrong by accident
57,8475,Mary Huber,3170,Health,Advil,Mobile Payments,1,811,2022-05-18 02:33,China,Beijing,Ebay.com,88,Y,Payment Successful
58,7021,Erin Watts,7905,Clothing,Dress,Debit Card,62,462,2022-06-23 05:15,Brazil,Fortaleza,Amazon.com,60,N,My card was closed
59,1195,Sherry Harrison,9330,Clothing,Dress,Debit Card,18,619,2022-01-23 10:33,Mexico,Ecatepec de Morelos,Walmart.com,93,Y,Payment Successful
60,3545,Jenna Schultz,2676,Home Appliances,Undefined,Debit Card,43,393,2022-05-18 02:33,India,Kolkata,Target.com,60,N,My card was closed
61,3403,Leah Ochoa,1480,Home Appliances,Table,Mobile Payments,61,20,2022-01-23 10:33,Italy,Turin,Alibaba.com,88,Y,Payment Successful
62,1263,Jennifer Allen,8004,Clothing,Dress,Mobile Payments,50,343,2022-05-18 02:33,Mexico,Iztapalapa,Ebay.com,70,Y,Payment Successful
63,627,Beth Wright,8392,Gardening,Rake,Credit Card,50,454,2022-01-23 10:33,Brazil,Belo Horizonte,Amazon.com,38,Y,Payment Successful
64,1795,Krista Smith,2644,Clothing,Dress,Credit Card,28,642,2022-01-23 10:33,Germany,Hamburg,Target.com,14,Y,Payment Successful
65,9926,Melissa Hamilton,6163,Clothing,Shirt,Credit Card,11,911,2022-04-07 9:30,Italy,Turin,Target.com,52,N,I didn't have enough
66,1706,James Golden,1681,Home Appliances,Couch,Credit Card,37,888,2022-01-23 10:33,Italy,Rome,Ebay.com,16,N,My card was closed
67,5049,Mary Huber,5806,Health,Advil,Mobile Payments,50,811,2022-06-23 05:15,Mexico,Mexico City,Alibaba.com,31,Y,Payment Successful
68,3138,Michael Brooks,2009,Health,Tylenol,Debit Card,2,551,2022-01-23 10:33,China,Guangzhou,Amazon.com,83,Y,Payment Successful
69,1789,Carrie Doyle,5341,Technology,Undefined,Credit Card,35,308,2022-01-23 10:33,Japan,Osaka,Target.com,82,Y,Payment Successful
70,8612,Ashley Murphy,9160,Home Appliances,Bed,Mobile Payments,95,910,2022-05-18 02:33,China,Tianjin,Ebay.com,41,Y,Payment Successful
71,5570,Brandon Torres,7687,Clothing,Shoes,Debit Card,66,181,2022-01-23 10:33,Germany,Berlin,Alibaba.com,67,N,I entered my card info wrong by accident
72,1788,Warren Boyle,3014,Home Appliances,Undefined,Debit Card,69,874,2022-01-23 10:33,United States,San Francisco,Amazon.com,15,Y,Payment Successful
73,3311,Tamara Wilson,8753,Technology,PC,Credit Card,59,66,2022-04-07 9:30,Mexico,Puebla,Ebay.com,29,Y,Payment Successful
74,6350,Heidi Molina,1545,Technology,Tablet,Debit Card,93,662,2022-01-23 10:33,France,Nantes,Walmart.com,56,Y,Payment Successful
75,8628,Jordan Hoffman,605,Health,Advil,Credit Card,44,537,2022-05-18 02:33,France,Lyon,Alibaba.com,40,N,I entered my card info wrong by accident
76,9922,Alexis Campbell,6276,Home Appliances,Table,Mobile Payments,47,50,2022-04-07 9:30,China,Tianjin,Walmart.com,36,N,My card was closed
77,1906,John Small,925,Home Appliances,Undefined,Mobile Payments,16,979,2022-06-23 05:15,Japan,Sapporo,Walmart.com,12,N,I entered my card info wrong by accident
78,1582,Mary Ramsey,344,Clothing,Shirt,Mobile Payments,65,335,2022-06-23 05:15,Italy,Turin,Walmart.com,68,Y,Payment Successful
79,313,Carolyn Hood,691,Technology,Wires,Mobile Payments,85,453,2022-05-18 02:33,India,Bengaluru,Walmart.com,84,Y,Payment Successful
80,4818,Erin Watts,6032,Gardening,Plants,Credit Card,9,659,2022-01-23 10:33,United States,San Jose,Walmart.com,29,N,I didn't have enough
81,9034,Tyler Stephenson,1400,Technology,Wires,Credit Card,41,168,2022-06-23 05:15,United States,Chicago,Ebay.com,39,Y,Payment Successful
82,8374,Jennifer Allen,2984,Technology,PC,Mobile Payments,77,574,2022-06-23 05:15,India,Bengaluru,Target.com,56,N,My card was closed
83,835,Holly Fisher,78,Technology,Tablet,Debit Card,4,857,2022-04-07 9:30,France,Toulouse,Target.com,7,Y,Payment Successful
84,8668,Elizabeth Newman,2375,Technology,Wires,Mobile Payments,18,889,2022-04-07 9:30,Japan,Kyoto,Amazon.com,11,Y,Payment Successful
85,6328,Kelly Mclaughlin,595,Health,Tylenol,Mobile Payments,37,155,2022-05-18 02:33,France,Nice,Ebay.com,71,Y,Payment Successful
86,3472,Erin Watts,3368,Home Appliances,Undefined,Credit Card,7,785,2022-01-23 10:33,United States,Washington,Alibaba.com,76,N,I didn't have enough
87,1875,Jordan Moore,7287,Technology,Tablet,Credit Card,42,525,2022-04-07 9:30,Italy,Milan,Ebay.com,41,N,I didn't have enough
